Feature,clusternum,cluster_name
Cells_RadialDistribution_RadialCV_Mito_2of4,168,Cells_Granularity_1_AGP
Cells_RadialDistribution_RadialCV_Mito_3of4,168,Cells_Granularity_1_AGP
Cells_RadialDistribution_RadialCV_Mito_4of4,168,Cells_Granularity_1_AGP
Cells_Texture_AngularSecondMoment_AGP_10_00_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_AngularSecondMoment_AGP_10_01_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_AngularSecondMoment_AGP_10_02_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_AngularSecondMoment_AGP_10_03_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_AngularSecondMoment_AGP_20_00_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_AngularSecondMoment_AGP_20_01_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_AngularSecondMoment_AGP_20_02_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_AngularSecondMoment_AGP_20_03_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_AngularSecondMoment_AGP_5_00_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_AngularSecondMoment_AGP_5_01_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_AngularSecondMoment_AGP_5_02_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_AngularSecondMoment_AGP_5_03_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_AngularSecondMoment_BODIPYRNA_10_00_256,413,Cells_Texture_AngularSecondMoment_BODIPYRNA_10_00_256
Cells_Texture_AngularSecondMoment_BODIPYRNA_10_01_256,446,Cells_Texture_AngularSecondMoment_BODIPYRNA_10_01_256
Cells_Texture_AngularSecondMoment_BODIPYRNA_10_02_256,404,Cells_Texture_AngularSecondMoment_BODIPYRNA_10_02_256
Cells_Texture_AngularSecondMoment_BODIPYRNA_10_03_256,446,Cells_Texture_AngularSecondMoment_BODIPYRNA_10_01_256
Cells_Texture_AngularSecondMoment_BODIPYRNA_20_00_256,414,Cells_Texture_AngularSecondMoment_BODIPYRNA_20_00_256
Cells_Texture_AngularSecondMoment_BODIPYRNA_20_01_256,473,Cells_Texture_AngularSecondMoment_BODIPYRNA_20_01_256
Cells_Texture_AngularSecondMoment_BODIPYRNA_20_02_256,414,Cells_Texture_AngularSecondMoment_BODIPYRNA_20_00_256
Cells_Texture_AngularSecondMoment_BODIPYRNA_20_03_256,454,Cells_Texture_AngularSecondMoment_BODIPYRNA_20_03_256
Cells_Texture_AngularSecondMoment_BODIPYRNA_5_00_256,413,Cells_Texture_AngularSecondMoment_BODIPYRNA_10_00_256
Cells_Texture_AngularSecondMoment_BODIPYRNA_5_01_256,405,Cells_Texture_AngularSecondMoment_BODIPYRNA_5_01_256
Cells_Texture_AngularSecondMoment_BODIPYRNA_5_02_256,404,Cells_Texture_AngularSecondMoment_BODIPYRNA_10_02_256
Cells_Texture_AngularSecondMoment_BODIPYRNA_5_03_256,413,Cells_Texture_AngularSecondMoment_BODIPYRNA_10_00_256
Cells_Texture_AngularSecondMoment_DNA_10_00_256,800,Cells_Texture_AngularSecondMoment_DNA_10_00_256
Cells_Texture_AngularSecondMoment_DNA_10_01_256,800,Cells_Texture_AngularSecondMoment_DNA_10_00_256
Cells_Texture_AngularSecondMoment_DNA_10_02_256,800,Cells_Texture_AngularSecondMoment_DNA_10_00_256
Cells_Texture_AngularSecondMoment_DNA_10_03_256,800,Cells_Texture_AngularSecondMoment_DNA_10_00_256
Cells_Texture_AngularSecondMoment_DNA_20_00_256,800,Cells_Texture_AngularSecondMoment_DNA_10_00_256
Cells_Texture_AngularSecondMoment_DNA_20_01_256,778,Cells_Texture_AngularSecondMoment_DNA_20_01_256
Cells_Texture_AngularSecondMoment_DNA_20_02_256,800,Cells_Texture_AngularSecondMoment_DNA_10_00_256
Cells_Texture_AngularSecondMoment_DNA_20_03_256,800,Cells_Texture_AngularSecondMoment_DNA_10_00_256
Cells_Texture_AngularSecondMoment_DNA_5_00_256,778,Cells_Texture_AngularSecondMoment_DNA_20_01_256
Cells_Texture_AngularSecondMoment_DNA_5_01_256,800,Cells_Texture_AngularSecondMoment_DNA_10_00_256
Cells_Texture_AngularSecondMoment_DNA_5_02_256,800,Cells_Texture_AngularSecondMoment_DNA_10_00_256
Cells_Texture_AngularSecondMoment_DNA_5_03_256,778,Cells_Texture_AngularSecondMoment_DNA_20_01_256
Cells_Texture_AngularSecondMoment_Mito_10_00_256,490,Cells_Texture_AngularSecondMoment_Mito_10_00_256
Cells_Texture_AngularSecondMoment_Mito_10_01_256,146,Cells_Texture_AngularSecondMoment_Mito_10_01_256
Cells_Texture_AngularSecondMoment_Mito_10_02_256,490,Cells_Texture_AngularSecondMoment_Mito_10_00_256
Cells_Texture_AngularSecondMoment_Mito_10_03_256,146,Cells_Texture_AngularSecondMoment_Mito_10_01_256
Cells_Texture_AngularSecondMoment_Mito_20_00_256,490,Cells_Texture_AngularSecondMoment_Mito_10_00_256
Cells_Texture_AngularSecondMoment_Mito_20_01_256,145,Cells_Texture_AngularSecondMoment_Mito_20_01_256
Cells_Texture_AngularSecondMoment_Mito_20_02_256,490,Cells_Texture_AngularSecondMoment_Mito_10_00_256
Cells_Texture_AngularSecondMoment_Mito_20_03_256,146,Cells_Texture_AngularSecondMoment_Mito_10_01_256
Cells_Texture_AngularSecondMoment_Mito_5_00_256,490,Cells_Texture_AngularSecondMoment_Mito_10_00_256
Cells_Texture_AngularSecondMoment_Mito_5_01_256,490,Cells_Texture_AngularSecondMoment_Mito_10_00_256
Cells_Texture_AngularSecondMoment_Mito_5_02_256,490,Cells_Texture_AngularSecondMoment_Mito_10_00_256
Cells_Texture_AngularSecondMoment_Mito_5_03_256,490,Cells_Texture_AngularSecondMoment_Mito_10_00_256
Cells_Texture_Contrast_AGP_10_00_256,100,Cells_Intensity_StdIntensity_AGP
Cells_Texture_Contrast_AGP_10_01_256,211,Cells_Texture_Contrast_AGP_10_01_256
Cells_Texture_Contrast_AGP_10_02_256,211,Cells_Texture_Contrast_AGP_10_01_256
Cells_Texture_Contrast_AGP_10_03_256,211,Cells_Texture_Contrast_AGP_10_01_256
Cells_Texture_Contrast_AGP_20_00_256,102,Cells_Texture_Contrast_AGP_20_00_256
Cells_Texture_Contrast_AGP_20_01_256,76,Cells_Texture_Contrast_AGP_20_01_256
Cells_Texture_Contrast_AGP_20_02_256,102,Cells_Texture_Contrast_AGP_20_00_256
Cells_Texture_Contrast_AGP_20_03_256,74,Cells_Texture_Contrast_AGP_20_03_256
Cells_Texture_Contrast_AGP_5_00_256,100,Cells_Intensity_StdIntensity_AGP
Cells_Texture_Contrast_AGP_5_01_256,100,Cells_Intensity_StdIntensity_AGP
Cells_Texture_Contrast_AGP_5_02_256,101,Cells_Intensity_MADIntensity_AGP
Cells_Texture_Contrast_AGP_5_03_256,100,Cells_Intensity_StdIntensity_AGP
Cells_Texture_Contrast_BODIPYRNA_10_00_256,421,Cells_Texture_Contrast_BODIPYRNA_10_00_256
Cells_Texture_Contrast_BODIPYRNA_10_01_256,198,Cells_Texture_Contrast_BODIPYRNA_10_01_256
Cells_Texture_Contrast_BODIPYRNA_10_02_256,408,Cells_Texture_Contrast_BODIPYRNA_10_02_256
Cells_Texture_Contrast_BODIPYRNA_10_03_256,418,Cells_Texture_Contrast_BODIPYRNA_10_03_256
Cells_Texture_Contrast_BODIPYRNA_20_00_256,447,Cells_Texture_Contrast_BODIPYRNA_20_00_256
Cells_Texture_Contrast_BODIPYRNA_20_01_256,607,Cells_Texture_Contrast_BODIPYRNA_20_01_256
Cells_Texture_Contrast_BODIPYRNA_20_02_256,439,Cells_Texture_Contrast_BODIPYRNA_20_02_256
Cells_Texture_Contrast_BODIPYRNA_20_03_256,600,Cells_Texture_Contrast_BODIPYRNA_20_03_256
Cells_Texture_Contrast_BODIPYRNA_5_00_256,421,Cells_Texture_Contrast_BODIPYRNA_10_00_256
Cells_Texture_Contrast_BODIPYRNA_5_01_256,198,Cells_Texture_Contrast_BODIPYRNA_10_01_256
Cells_Texture_Contrast_BODIPYRNA_5_02_256,408,Cells_Texture_Contrast_BODIPYRNA_10_02_256
Cells_Texture_Contrast_BODIPYRNA_5_03_256,418,Cells_Texture_Contrast_BODIPYRNA_10_03_256
Cells_Texture_Contrast_DNA_10_00_256,57,Cells_Texture_Contrast_DNA_10_00_256
Cells_Texture_Contrast_DNA_10_01_256,57,Cells_Texture_Contrast_DNA_10_00_256
Cells_Texture_Contrast_DNA_10_02_256,57,Cells_Texture_Contrast_DNA_10_00_256
Cells_Texture_Contrast_DNA_10_03_256,57,Cells_Texture_Contrast_DNA_10_00_256
Cells_Texture_Contrast_DNA_20_00_256,56,Cells_Intensity_StdIntensity_DNA
Cells_Texture_Contrast_DNA_20_01_256,760,Cells_Texture_Contrast_DNA_20_01_256
Cells_Texture_Contrast_DNA_20_02_256,56,Cells_Intensity_StdIntensity_DNA
Cells_Texture_Contrast_DNA_20_03_256,810,Cells_Texture_Contrast_DNA_20_03_256
Cells_Texture_Contrast_DNA_5_00_256,57,Cells_Texture_Contrast_DNA_10_00_256
Cells_Texture_Contrast_DNA_5_01_256,57,Cells_Texture_Contrast_DNA_10_00_256
Cells_Texture_Contrast_DNA_5_02_256,57,Cells_Texture_Contrast_DNA_10_00_256
Cells_Texture_Contrast_DNA_5_03_256,57,Cells_Texture_Contrast_DNA_10_00_256
Cells_Texture_Contrast_Mito_10_00_256,523,Cells_Texture_Contrast_Mito_10_00_256
Cells_Texture_Contrast_Mito_10_01_256,497,Cells_Texture_Contrast_Mito_10_01_256
Cells_Texture_Contrast_Mito_10_02_256,498,Cells_Texture_Contrast_Mito_10_02_256
Cells_Texture_Contrast_Mito_10_03_256,503,Cells_Texture_Contrast_Mito_10_03_256
Cells_Texture_Contrast_Mito_20_00_256,153,Cells_Intensity_MADIntensity_Mito
Cells_Texture_Contrast_Mito_20_01_256,154,Cells_Texture_Contrast_Mito_20_01_256
Cells_Texture_Contrast_Mito_20_02_256,151,Cells_Texture_Contrast_Mito_20_02_256
Cells_Texture_Contrast_Mito_20_03_256,153,Cells_Intensity_MADIntensity_Mito
Cells_Texture_Contrast_Mito_5_00_256,523,Cells_Texture_Contrast_Mito_10_00_256
Cells_Texture_Contrast_Mito_5_01_256,497,Cells_Texture_Contrast_Mito_10_01_256
Cells_Texture_Contrast_Mito_5_02_256,498,Cells_Texture_Contrast_Mito_10_02_256
Cells_Texture_Contrast_Mito_5_03_256,503,Cells_Texture_Contrast_Mito_10_03_256
Cells_Texture_Correlation_AGP_10_00_256,157,Cells_Texture_Correlation_AGP_10_00_256
Cells_Texture_Correlation_AGP_10_01_256,716,Cells_Texture_Correlation_AGP_10_01_256
Cells_Texture_Correlation_AGP_10_02_256,730,Cells_Texture_Correlation_AGP_10_02_256
Cells_Texture_Correlation_AGP_10_03_256,67,Cells_Texture_Correlation_AGP_10_03_256
Cells_Texture_Correlation_AGP_20_00_256,673,Cells_Texture_Correlation_AGP_20_00_256
Cells_Texture_Correlation_AGP_20_01_256,273,Cells_Texture_Correlation_AGP_20_01_256
Cells_Texture_Correlation_AGP_20_02_256,230,Cells_Texture_Correlation_AGP_20_02_256
Cells_Texture_Correlation_AGP_20_03_256,181,Cells_Texture_Correlation_AGP_20_03_256
Cells_Texture_Correlation_AGP_5_00_256,158,Cells_Texture_Correlation_AGP_5_00_256
Cells_Texture_Correlation_AGP_5_01_256,717,Cells_Texture_Correlation_AGP_5_01_256
Cells_Texture_Correlation_AGP_5_02_256,729,Cells_Texture_Correlation_AGP_5_02_256
Cells_Texture_Correlation_AGP_5_03_256,60,Cells_Texture_Correlation_AGP_5_03_256
Cells_Texture_Correlation_BODIPYRNA_10_00_256,92,Cells_Texture_Correlation_BODIPYRNA_10_00_256
Cells_Texture_Correlation_BODIPYRNA_10_01_256,271,Cells_Texture_Correlation_BODIPYRNA_10_01_256
Cells_Texture_Correlation_BODIPYRNA_10_02_256,234,Cells_Texture_Correlation_BODIPYRNA_10_02_256
Cells_Texture_Correlation_BODIPYRNA_10_03_256,67,Cells_Texture_Correlation_AGP_10_03_256
Cells_Texture_Correlation_BODIPYRNA_20_00_256,675,Cells_Texture_Correlation_BODIPYRNA_20_00_256
Cells_Texture_Correlation_BODIPYRNA_20_01_256,269,Cells_Texture_Correlation_BODIPYRNA_20_01_256
Cells_Texture_Correlation_BODIPYRNA_20_02_256,232,Cells_Texture_Correlation_BODIPYRNA_20_02_256
Cells_Texture_Correlation_BODIPYRNA_20_03_256,63,Cells_Texture_Correlation_BODIPYRNA_20_03_256
Cells_Texture_Correlation_BODIPYRNA_5_00_256,159,Cells_Texture_Correlation_BODIPYRNA_5_00_256
Cells_Texture_Correlation_BODIPYRNA_5_01_256,716,Cells_Texture_Correlation_AGP_10_01_256
Cells_Texture_Correlation_BODIPYRNA_5_02_256,728,Cells_Texture_Correlation_BODIPYRNA_5_02_256
Cells_Texture_Correlation_BODIPYRNA_5_03_256,62,Cells_Texture_Correlation_BODIPYRNA_5_03_256
Cells_Texture_Correlation_DNA_10_00_256,93,Cells_Texture_Correlation_DNA_10_00_256
Cells_Texture_Correlation_DNA_10_01_256,270,Cells_Texture_Correlation_DNA_10_01_256
Cells_Texture_Correlation_DNA_10_02_256,233,Cells_Texture_Correlation_DNA_10_02_256
Cells_Texture_Correlation_DNA_10_03_256,66,Cells_Texture_Correlation_DNA_10_03_256
Cells_Texture_Correlation_DNA_20_00_256,93,Cells_Texture_Correlation_DNA_10_00_256
Cells_Texture_Correlation_DNA_20_01_256,134,Cells_Texture_Correlation_DNA_20_01_256
Cells_Texture_Correlation_DNA_20_02_256,233,Cells_Texture_Correlation_DNA_10_02_256
Cells_Texture_Correlation_DNA_20_03_256,130,Cells_Texture_Correlation_DNA_20_03_256
Cells_Texture_Correlation_DNA_5_00_256,93,Cells_Texture_Correlation_DNA_10_00_256
Cells_Texture_Correlation_DNA_5_01_256,270,Cells_Texture_Correlation_DNA_10_01_256
Cells_Texture_Correlation_DNA_5_02_256,233,Cells_Texture_Correlation_DNA_10_02_256
Cells_Texture_Correlation_DNA_5_03_256,66,Cells_Texture_Correlation_DNA_10_03_256
Cells_Texture_Correlation_Mito_10_00_256,92,Cells_Texture_Correlation_BODIPYRNA_10_00_256
Cells_Texture_Correlation_Mito_10_01_256,271,Cells_Texture_Correlation_BODIPYRNA_10_01_256
Cells_Texture_Correlation_Mito_10_02_256,234,Cells_Texture_Correlation_BODIPYRNA_10_02_256
Cells_Texture_Correlation_Mito_10_03_256,67,Cells_Texture_Correlation_AGP_10_03_256
Cells_Texture_Correlation_Mito_20_00_256,674,Cells_Texture_Correlation_Mito_20_00_256
Cells_Texture_Correlation_Mito_20_01_256,268,Cells_Texture_Correlation_Mito_20_01_256
Cells_Texture_Correlation_Mito_20_02_256,231,Cells_Texture_Correlation_Mito_20_02_256
Cells_Texture_Correlation_Mito_20_03_256,185,Cells_Texture_Correlation_Mito_20_03_256
Cells_Texture_Correlation_Mito_5_00_256,92,Cells_Texture_Correlation_BODIPYRNA_10_00_256
Cells_Texture_Correlation_Mito_5_01_256,271,Cells_Texture_Correlation_BODIPYRNA_10_01_256
Cells_Texture_Correlation_Mito_5_02_256,234,Cells_Texture_Correlation_BODIPYRNA_10_02_256
Cells_Texture_Correlation_Mito_5_03_256,67,Cells_Texture_Correlation_AGP_10_03_256
Cells_Texture_DifferenceEntropy_AGP_10_00_256,99,Cells_Intensity_MaxIntensity_AGP
Cells_Texture_DifferenceEntropy_AGP_10_01_256,99,Cells_Intensity_MaxIntensity_AGP
Cells_Texture_DifferenceEntropy_AGP_10_02_256,99,Cells_Intensity_MaxIntensity_AGP
Cells_Texture_DifferenceEntropy_AGP_10_03_256,99,Cells_Intensity_MaxIntensity_AGP
Cells_Texture_DifferenceEntropy_AGP_20_00_256,99,Cells_Intensity_MaxIntensity_AGP
Cells_Texture_DifferenceEntropy_AGP_20_01_256,99,Cells_Intensity_MaxIntensity_AGP
Cells_Texture_DifferenceEntropy_AGP_20_02_256,99,Cells_Intensity_MaxIntensity_AGP
Cells_Texture_DifferenceEntropy_AGP_20_03_256,99,Cells_Intensity_MaxIntensity_AGP
Cells_Texture_DifferenceEntropy_AGP_5_00_256,98,Cells_Correlation_K_AGP_BODIPYRNA
Cells_Texture_DifferenceEntropy_AGP_5_01_256,98,Cells_Correlation_K_AGP_BODIPYRNA
Cells_Texture_DifferenceEntropy_AGP_5_02_256,98,Cells_Correlation_K_AGP_BODIPYRNA
Cells_Texture_DifferenceEntropy_AGP_5_03_256,99,Cells_Intensity_MaxIntensity_AGP
Cells_Texture_DifferenceEntropy_BODIPYRNA_10_00_256,421,Cells_Texture_Contrast_BODIPYRNA_10_00_256
Cells_Texture_DifferenceEntropy_BODIPYRNA_10_01_256,198,Cells_Texture_Contrast_BODIPYRNA_10_01_256
Cells_Texture_DifferenceEntropy_BODIPYRNA_10_02_256,408,Cells_Texture_Contrast_BODIPYRNA_10_02_256
Cells_Texture_DifferenceEntropy_BODIPYRNA_10_03_256,418,Cells_Texture_Contrast_BODIPYRNA_10_03_256
Cells_Texture_DifferenceEntropy_BODIPYRNA_20_00_256,447,Cells_Texture_Contrast_BODIPYRNA_20_00_256
Cells_Texture_DifferenceEntropy_BODIPYRNA_20_01_256,607,Cells_Texture_Contrast_BODIPYRNA_20_01_256
Cells_Texture_DifferenceEntropy_BODIPYRNA_20_02_256,439,Cells_Texture_Contrast_BODIPYRNA_20_02_256
Cells_Texture_DifferenceEntropy_BODIPYRNA_20_03_256,600,Cells_Texture_Contrast_BODIPYRNA_20_03_256
Cells_Texture_DifferenceEntropy_BODIPYRNA_5_00_256,421,Cells_Texture_Contrast_BODIPYRNA_10_00_256
Cells_Texture_DifferenceEntropy_BODIPYRNA_5_01_256,193,Cells_Texture_DifferenceEntropy_BODIPYRNA_5_01_256
Cells_Texture_DifferenceEntropy_BODIPYRNA_5_02_256,408,Cells_Texture_Contrast_BODIPYRNA_10_02_256
Cells_Texture_DifferenceEntropy_BODIPYRNA_5_03_256,417,Cells_Texture_DifferenceEntropy_BODIPYRNA_5_03_256
Cells_Texture_DifferenceEntropy_DNA_10_00_256,104,Cells_AreaShape_MajorAxisLength
Cells_Texture_DifferenceEntropy_DNA_10_01_256,104,Cells_AreaShape_MajorAxisLength
Cells_Texture_DifferenceEntropy_DNA_10_02_256,104,Cells_AreaShape_MajorAxisLength
Cells_Texture_DifferenceEntropy_DNA_10_03_256,104,Cells_AreaShape_MajorAxisLength
Cells_Texture_DifferenceEntropy_DNA_20_00_256,23,Cells_Texture_DifferenceEntropy_DNA_20_00_256
Cells_Texture_DifferenceEntropy_DNA_20_01_256,762,Cells_Texture_DifferenceEntropy_DNA_20_01_256
Cells_Texture_DifferenceEntropy_DNA_20_02_256,23,Cells_Texture_DifferenceEntropy_DNA_20_00_256
Cells_Texture_DifferenceEntropy_DNA_20_03_256,808,Cells_Texture_DifferenceEntropy_DNA_20_03_256
Cells_Texture_DifferenceEntropy_DNA_5_00_256,104,Cells_AreaShape_MajorAxisLength
Cells_Texture_DifferenceEntropy_DNA_5_01_256,104,Cells_AreaShape_MajorAxisLength
Cells_Texture_DifferenceEntropy_DNA_5_02_256,104,Cells_AreaShape_MajorAxisLength
Cells_Texture_DifferenceEntropy_DNA_5_03_256,104,Cells_AreaShape_MajorAxisLength
Cells_Texture_DifferenceEntropy_Mito_10_00_256,494,Cells_Texture_DifferenceEntropy_Mito_10_00_256
Cells_Texture_DifferenceEntropy_Mito_10_01_256,492,Cells_Texture_DifferenceEntropy_Mito_10_01_256
Cells_Texture_DifferenceEntropy_Mito_10_02_256,499,Cells_Texture_DifferenceEntropy_Mito_10_02_256
Cells_Texture_DifferenceEntropy_Mito_10_03_256,489,Cells_Texture_DifferenceEntropy_Mito_10_03_256
Cells_Texture_DifferenceEntropy_Mito_20_00_256,144,Cells_Texture_DifferenceEntropy_Mito_20_00_256
Cells_Texture_DifferenceEntropy_Mito_20_01_256,619,Cells_Texture_DifferenceEntropy_Mito_20_01_256
Cells_Texture_DifferenceEntropy_Mito_20_02_256,144,Cells_Texture_DifferenceEntropy_Mito_20_00_256
Cells_Texture_DifferenceEntropy_Mito_20_03_256,619,Cells_Texture_DifferenceEntropy_Mito_20_01_256
Cells_Texture_DifferenceEntropy_Mito_5_00_256,494,Cells_Texture_DifferenceEntropy_Mito_10_00_256
Cells_Texture_DifferenceEntropy_Mito_5_01_256,512,Cells_Texture_DifferenceEntropy_Mito_5_01_256
Cells_Texture_DifferenceEntropy_Mito_5_02_256,499,Cells_Texture_DifferenceEntropy_Mito_10_02_256
Cells_Texture_DifferenceEntropy_Mito_5_03_256,493,Cells_Texture_DifferenceEntropy_Mito_5_03_256
Cells_Texture_DifferenceVariance_AGP_10_00_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_DifferenceVariance_AGP_10_01_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_DifferenceVariance_AGP_10_02_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_DifferenceVariance_AGP_10_03_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_DifferenceVariance_AGP_20_00_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_DifferenceVariance_AGP_20_01_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_DifferenceVariance_AGP_20_02_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_DifferenceVariance_AGP_20_03_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_DifferenceVariance_AGP_5_00_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_DifferenceVariance_AGP_5_01_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_DifferenceVariance_AGP_5_02_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_DifferenceVariance_AGP_5_03_256,97,Cells_Texture_AngularSecondMoment_AGP_10_00_256
Cells_Texture_DifferenceVariance_BODIPYRNA_10_00_256,410,Cells_Texture_DifferenceVariance_BODIPYRNA_10_00_256
Cells_Texture_DifferenceVariance_BODIPYRNA_10_01_256,405,Cells_Texture_AngularSecondMoment_BODIPYRNA_5_01_256
Cells_Texture_DifferenceVariance_BODIPYRNA_10_02_256,404,Cells_Texture_AngularSecondMoment_BODIPYRNA_10_02_256
Cells_Texture_DifferenceVariance_BODIPYRNA_10_03_256,415,Cells_Texture_DifferenceVariance_BODIPYRNA_10_03_256
Cells_Texture_DifferenceVariance_BODIPYRNA_20_00_256,420,Cells_Texture_DifferenceVariance_BODIPYRNA_20_00_256
Cells_Texture_DifferenceVariance_BODIPYRNA_20_01_256,415,Cells_Texture_DifferenceVariance_BODIPYRNA_10_03_256
Cells_Texture_DifferenceVariance_BODIPYRNA_20_02_256,420,Cells_Texture_DifferenceVariance_BODIPYRNA_20_00_256
Cells_Texture_DifferenceVariance_BODIPYRNA_20_03_256,414,Cells_Texture_AngularSecondMoment_BODIPYRNA_20_00_256
Cells_Texture_DifferenceVariance_BODIPYRNA_5_00_256,410,Cells_Texture_DifferenceVariance_BODIPYRNA_10_00_256
Cells_Texture_DifferenceVariance_BODIPYRNA_5_01_256,405,Cells_Texture_AngularSecondMoment_BODIPYRNA_5_01_256
Cells_Texture_DifferenceVariance_BODIPYRNA_5_02_256,404,Cells_Texture_AngularSecondMoment_BODIPYRNA_10_02_256
Cells_Texture_DifferenceVariance_BODIPYRNA_5_03_256,415,Cells_Texture_DifferenceVariance_BODIPYRNA_10_03_256
Cells_Texture_DifferenceVariance_DNA_10_00_256,21,Cells_Texture_DifferenceVariance_DNA_10_00_256
Cells_Texture_DifferenceVariance_DNA_10_01_256,21,Cells_Texture_DifferenceVariance_DNA_10_00_256
Cells_Texture_DifferenceVariance_DNA_10_02_256,21,Cells_Texture_DifferenceVariance_DNA_10_00_256
Cells_Texture_DifferenceVariance_DNA_10_03_256,21,Cells_Texture_DifferenceVariance_DNA_10_00_256
Cells_Texture_DifferenceVariance_DNA_20_00_256,21,Cells_Texture_DifferenceVariance_DNA_10_00_256
Cells_Texture_DifferenceVariance_DNA_20_01_256,21,Cells_Texture_DifferenceVariance_DNA_10_00_256
Cells_Texture_DifferenceVariance_DNA_20_02_256,21,Cells_Texture_DifferenceVariance_DNA_10_00_256
Cells_Texture_DifferenceVariance_DNA_20_03_256,21,Cells_Texture_DifferenceVariance_DNA_10_00_256
Cells_Texture_DifferenceVariance_DNA_5_00_256,21,Cells_Texture_DifferenceVariance_DNA_10_00_256
Cells_Texture_DifferenceVariance_DNA_5_01_256,21,Cells_Texture_DifferenceVariance_DNA_10_00_256
Cells_Texture_DifferenceVariance_DNA_5_02_256,21,Cells_Texture_DifferenceVariance_DNA_10_00_256
Cells_Texture_DifferenceVariance_DNA_5_03_256,21,Cells_Texture_DifferenceVariance_DNA_10_00_256
Cells_Texture_DifferenceVariance_Mito_10_00_256,494,Cells_Texture_DifferenceEntropy_Mito_10_00_256
Cells_Texture_DifferenceVariance_Mito_10_01_256,492,Cells_Texture_DifferenceEntropy_Mito_10_01_256
Cells_Texture_DifferenceVariance_Mito_10_02_256,491,Cells_Texture_DifferenceVariance_Mito_10_02_256
Cells_Texture_DifferenceVariance_Mito_10_03_256,490,Cells_Texture_AngularSecondMoment_Mito_10_00_256
Cells_Texture_DifferenceVariance_Mito_20_00_256,494,Cells_Texture_DifferenceEntropy_Mito_10_00_256
Cells_Texture_DifferenceVariance_Mito_20_01_256,490,Cells_Texture_AngularSecondMoment_Mito_10_00_256
Cells_Texture_DifferenceVariance_Mito_20_02_256,491,Cells_Texture_DifferenceVariance_Mito_10_02_256
Cells_Texture_DifferenceVariance_Mito_20_03_256,490,Cells_Texture_AngularSecondMoment_Mito_10_00_256
Cells_Texture_DifferenceVariance_Mito_5_00_256,494,Cells_Texture_DifferenceEntropy_Mito_10_00_256
Cells_Texture_DifferenceVariance_Mito_5_01_256,512,Cells_Texture_DifferenceEntropy_Mito_5_01_256
Cells_Texture_DifferenceVariance_Mito_5_02_256,491,Cells_Texture_DifferenceVariance_Mito_10_02_256
Cells_Texture_DifferenceVariance_Mito_5_03_256,493,Cells_Texture_DifferenceEntropy_Mito_5_03_256
Cells_Texture_Entropy_AGP_10_00_256,99,Cells_Intensity_MaxIntensity_AGP
Cells_Texture_Entropy_AGP_10_01_256,99,Cells_Intensity_MaxIntensity_AGP
Cells_Texture_Entropy_AGP_10_02_256,99,Cells_Intensity_MaxIntensity_AGP
Cells_Texture_Entropy_AGP_10_03_256,99,Cells_Intensity_MaxIntensity_AGP
Cells_Texture_Entropy_AGP_20_00_256,99,Cells_Intensity_MaxIntensity_AGP
Cells_Texture_Entropy_AGP_20_01_256,75,Cells_Texture_Entropy_AGP_20_01_256
Cells_Texture_Entropy_AGP_20_02_256,99,Cells_Intensity_MaxIntensity_AGP
Cells_Texture_Entropy_AGP_20_03_256,74,Cells_Texture_Contrast_AGP_20_03_256
Cells_Texture_Entropy_AGP_5_00_256,99,Cells_Intensity_MaxIntensity_AGP
Cells_Texture_Entropy_AGP_5_01_256,99,Cells_Intensity_MaxIntensity_AGP
Cells_Texture_Entropy_AGP_5_02_256,99,Cells_Intensity_MaxIntensity_AGP
Cells_Texture_Entropy_AGP_5_03_256,99,Cells_Intensity_MaxIntensity_AGP
